seconds,%CPU,%memory
0,0.0,0.0
5,0.0,0.0
10,0.0,0.0
15,0.0,0.0
20,0.0,0.0
25,0.0,0.0
31,0.0,0.0
36,0.0,0.0
41,0.0,0.0
46,0.0,0.0
51,0.0,0.0
56,0.0,0.0
61,0.0,0.0
66,0.0,0.0
71,0.0,0.0
76,0.0,0.0
81,0.0,0.0
86,0.0,0.0
91,0.0,0.0
96,0.0,0.0
101,0.0,0.0
107,0.0,0.0
112,0.0,0.0
117,0.0,0.0
122,0.0,0.0
127,0.0,0.0
132,0.0,0.0
137,0.0,0.0
143,0.0,0.0
148,0.0,0.0
153,0.0,0.0
158,0.0,0.0
163,0.0,0.0
168,0.0,0.0
173,0.0,0.0
178,0.0,0.0
183,0.0,0.0
188,0.0,0.0
193,0.0,0.0
198,0.0,0.0
203,0.0,0.0
208,0.0,0.0
213,0.0,0.0
218,0.0,0.0
223,0.0,0.0
229,0.0,0.0
234,0.0,0.0
239,0.0,0.0
244,0.0,0.0
249,0.0,0.0
254,0.0,0.0
259,0.0,0.0
264,0.0,0.0
269,0.0,0.0
274,0.0,0.0
279,0.0,0.0
284,0.0,0.0
289,0.0,0.0
294,0.0,0.0
299,0.0,0.0
304,0.0,0.0
309,0.0,0.0
314,0.0,0.0
319,0.0,0.0
324,0.0,0.0
329,0.0,0.0
334,0.0,0.0
339,0.0,0.0
344,0.0,0.0
349,0.0,0.0
354,0.0,0.0
359,0.0,0.0
365,0.0,0.0
370,0.0,0.0
375,0.0,0.0
380,0.0,0.0
385,0.0,0.0
390,0.0,0.0
395,0.0,0.0
400,0.0,0.0
405,0.0,0.0
410,0.0,0.0
415,0.0,0.0
420,0.0,0.0
425,0.0,0.0
430,0.0,0.0
435,0.0,0.0
440,0.0,0.0
445,0.0,0.0
451,0.0,0.0
456,0.0,0.0
461,0.0,0.0
466,0.0,0.0
471,0.0,0.0
476,0.0,0.0
481,0.0,0.0
486,0.0,0.0
491,0.0,0.0
496,0.0,0.0
501,0.0,0.0
506,0.0,0.0
511,0.0,0.0
516,0.0,0.0
521,0.0,0.0
526,0.0,0.0
531,0.0,0.0
536,0.0,0.0
542,0.0,0.0
547,0.0,0.0
552,0.0,0.0
557,0.0,0.0
562,0.0,0.0
567,0.0,0.0
572,0.0,0.0
577,0.0,0.0
582,0.0,0.0
587,0.0,0.0
592,0.0,0.0
597,0.0,0.0
602,0.0,0.0
607,0.0,0.0
612,0.0,0.0
617,0.0,0.0
622,0.0,0.0
627,0.0,0.0
633,0.0,0.0
638,0.0,0.0
643,0.0,0.0
648,0.0,0.0
653,0.0,0.0
658,0.0,0.0
663,0.0,0.0
668,0.0,0.0
673,0.0,0.0
678,0.0,0.0
683,0.0,0.0
688,0.0,0.0
693,0.0,0.0
698,0.0,0.0
703,0.0,0.0
708,0.0,0.0
714,0.0,0.0
719,0.0,0.0
724,0.0,0.0
729,0.0,0.0
734,0.0,0.0
739,0.0,0.0
744,0.0,0.0
749,0.0,0.0
754,0.0,0.0
759,0.0,0.0
764,0.0,0.0
770,0.0,0.0
775,0.0,0.0
780,0.0,0.0
785,0.0,0.0
790,0.0,0.0
795,0.0,0.0
800,0.0,0.0
805,0.0,0.0
810,0.0,0.0
815,0.0,0.0
820,0.0,0.0
825,0.0,0.0
830,0.0,0.0
835,0.0,0.0
840,0.0,0.0
845,0.0,0.0
850,0.0,0.0
855,0.0,0.0
861,0.0,0.0
866,0.0,0.0
871,0.0,0.0
876,0.0,0.0
881,0.0,0.0
887,0.0,0.0
892,0.0,0.0
897,0.0,0.0
