seconds,%CPU,%memory
0,0.0,0.0
5,0.0,0.0
10,0.0,0.0
15,0.0,0.0
20,0.0,0.0
25,0.0,0.0
30,0.0,0.0
36,0.0,0.0
41,0.0,0.0
46,0.0,0.0
51,0.0,0.0
56,0.0,0.0
61,0.0,0.0
66,0.0,0.0
71,0.0,0.0
76,0.0,0.0
81,0.0,0.0
86,0.0,0.0
91,0.0,0.0
96,0.0,0.0
101,0.0,0.0
106,0.0,0.0
111,0.0,0.0
116,0.0,0.0
122,0.0,0.0
127,0.0,0.0
132,0.0,0.0
137,0.0,0.0
142,0.0,0.0
147,0.0,0.0
152,0.0,0.0
157,0.0,0.0
162,0.0,0.0
167,0.0,0.0
172,0.0,0.0
177,0.0,0.0
182,0.0,0.0
187,0.0,0.0
192,0.0,0.0
198,0.0,0.0
203,0.0,0.0
208,0.0,0.0
213,0.0,0.0
218,0.0,0.0
223,0.0,0.0
228,0.0,0.0
233,0.0,0.0
238,0.0,0.0
243,0.0,0.0
248,0.0,0.0
253,0.0,0.0
258,0.0,0.0
263,0.0,0.0
268,0.0,0.0
273,0.0,0.0
278,0.0,0.0
283,0.0,0.0
288,0.0,0.0
293,0.0,0.0
298,0.0,0.0
303,0.0,0.0
308,0.0,0.0
313,0.0,0.0
318,0.0,0.0
323,0.0,0.0
328,0.0,0.0
333,0.0,0.0
339,0.0,0.0
344,0.0,0.0
349,0.0,0.0
354,0.0,0.0
359,0.0,0.0
364,0.0,0.0
369,0.0,0.0
374,0.0,0.0
379,0.0,0.0
384,0.0,0.0
389,0.0,0.0
394,0.0,0.0
399,0.0,0.0
404,0.0,0.0
409,0.0,0.0
414,0.0,0.0
419,0.0,0.0
424,0.0,0.0
429,0.0,0.0
434,0.0,0.0
440,0.0,0.0
445,0.0,0.0
450,0.0,0.0
455,0.0,0.0
460,0.0,0.0
465,0.0,0.0
470,0.0,0.0
475,0.0,0.0
480,0.0,0.0
485,0.0,0.0
490,0.0,0.0
495,0.0,0.0
500,0.0,0.0
505,0.0,0.0
510,0.0,0.0
515,0.0,0.0
520,0.0,0.0
525,0.0,0.0
530,0.0,0.0
535,0.0,0.0
541,0.0,0.0
546,0.0,0.0
551,0.0,0.0
556,0.0,0.0
561,0.0,0.0
566,0.0,0.0
571,0.0,0.0
576,0.0,0.0
581,0.0,0.0
586,0.0,0.0
591,0.0,0.0
596,0.0,0.0
601,0.0,0.0
606,0.0,0.0
611,0.0,0.0
616,0.0,0.0
621,0.0,0.0
626,0.0,0.0
631,0.0,0.0
636,0.0,0.0
642,0.0,0.0
647,0.0,0.0
652,0.0,0.0
657,0.0,0.0
662,0.0,0.0
667,0.0,0.0
672,0.0,0.0
677,0.0,0.0
682,0.0,0.0
687,0.0,0.0
692,0.0,0.0
697,0.0,0.0
702,0.0,0.0
707,0.0,0.0
712,0.0,0.0
717,0.0,0.0
722,0.0,0.0
727,0.0,0.0
732,0.0,0.0
738,0.0,0.0
743,0.0,0.0
748,0.0,0.0
753,0.0,0.0
758,0.0,0.0
763,0.0,0.0
768,0.0,0.0
774,0.0,0.0
779,0.0,0.0
784,0.0,0.0
789,0.0,0.0
794,0.0,0.0
799,0.0,0.0
804,0.0,0.0
809,0.0,0.0
814,0.0,0.0
819,0.0,0.0
824,0.0,0.0
829,0.0,0.0
834,0.0,0.0
839,0.0,0.0
844,0.0,0.0
849,0.0,0.0
855,0.0,0.0
860,0.0,0.0
865,0.0,0.0
870,0.0,0.0
875,0.0,0.0
881,0.0,0.0
886,0.0,0.0
891,0.0,0.0
896,0.0,0.0
