seconds,%CPU,%memory
0,0.0,0.0
5,91.4,0.0
10,88.7,0.0
15,81.9,0.0
20,85.0,0.0
25,87.1,0.0
31,88.5,0.0
36,89.5,0.0
41,90.1,0.0
46,91.0,0.0
51,90.1,0.0
56,90.9,0.0
61,91.6,0.0
66,92.2,0.0
71,92.6,0.0
76,86.9,0.0
81,81.6,0.0
86,76.9,0.0
91,72.7,0.0
96,69.0,0.0
101,65.6,0.0
107,62.5,0.0
112,59.7,0.0
117,59.7,0.0
122,61.0,0.0
127,62.2,0.0
132,62.9,0.0
137,64.0,0.0
142,65.0,0.0
148,66.2,0.0
153,67.3,0.0
158,68.3,0.0
163,69.2,0.0
168,70.1,0.0
173,71.0,0.0
178,71.4,0.0
183,72.1,0.0
188,72.8,0.0
193,71.6,0.0
198,69.8,0.0
203,68.1,0.0
208,66.5,0.0
213,64.9,0.0
218,63.4,0.0
223,62.0,0.0
228,60.7,0.0
233,59.4,0.0
238,59.7,0.0
244,60.5,0.0
249,61.3,0.0
254,62.0,0.0
259,62.7,0.0
264,63.4,0.0
269,64.0,0.0
274,64.7,0.0
279,65.3,0.0
284,65.9,0.0
289,66.4,0.0
294,67.0,0.0
299,67.3,0.0
304,66.6,0.0
309,65.6,0.0
314,64.5,0.0
319,63.5,0.0
324,62.5,0.0
329,61.6,0.0
334,61.8,0.0
339,62.3,0.0
344,62.8,0.0
349,63.4,0.0
355,63.8,0.0
360,64.3,0.0
365,64.8,0.0
370,65.3,0.0
375,65.7,0.0
380,66.2,0.0
385,66.6,0.0
390,67.0,0.0
395,67.3,0.0
400,66.5,0.0
405,65.7,0.0
410,64.9,0.0
415,64.1,0.0
420,63.3,0.0
425,62.4,0.0
430,61.7,0.0
435,62.0,0.0
440,62.3,0.0
446,62.7,0.0
451,63.1,0.0
456,63.5,0.0
461,63.8,0.0
466,64.2,0.0
471,64.6,0.0
476,65.0,0.0
481,65.3,0.0
486,65.6,0.0
491,66.0,0.0
496,66.3,0.0
501,65.6,0.0
506,65.0,0.0
511,64.3,0.0
516,63.7,0.0
521,63.1,0.0
526,62.5,0.0
531,61.9,0.0
536,61.6,0.0
542,61.9,0.0
547,62.2,0.0
552,62.6,0.0
557,62.9,0.0
562,63.2,0.0
567,63.5,0.0
572,63.9,0.0
577,64.2,0.0
582,64.3,0.0
587,64.6,0.0
592,64.9,0.0
597,65.2,0.0
602,65.5,0.0
607,65.8,0.0
612,65.6,0.0
617,65.1,0.0
622,64.5,0.0
627,64.0,0.0
633,63.5,0.0
638,63.0,0.0
643,62.8,0.0
648,63.0,0.0
653,63.3,0.0
658,63.4,0.0
663,63.6,0.0
668,63.9,0.0
673,64.2,0.0
678,64.4,0.0
683,64.7,0.0
688,64.9,0.0
693,65.2,0.0
698,65.4,0.0
703,65.5,0.0
709,65.1,0.0
714,64.6,0.0
719,64.2,0.0
724,63.7,0.0
729,63.3,0.0
734,62.8,0.0
739,62.6,0.0
744,62.8,0.0
749,63.0,0.0
754,63.1,0.0
759,63.3,0.0
765,63.5,0.0
770,63.7,0.0
775,63.8,0.0
780,64.0,0.0
785,64.3,0.0
790,64.5,0.0
795,64.7,0.0
800,64.9,0.0
805,65.1,0.0
810,65.3,0.0
815,65.0,0.0
820,64.5,0.0
825,64.1,0.0
830,63.8,0.0
835,63.4,0.0
840,63.0,0.0
845,62.6,0.0
850,62.4,0.0
856,62.6,0.0
861,62.8,0.0
866,62.7,0.0
871,62.7,0.0
876,62.6,0.0
881,62.6,0.0
887,62.6,0.0
892,62.6,0.0
897,62.5,0.0
