seconds,%CPU,%memory
0,0.0,0.0
5,1.4,0.0
10,0.7,0.0
15,0.4,0.0
20,0.3,0.0
25,0.2,0.0
31,0.2,0.0
36,0.1,0.0
41,0.1,0.0
46,0.1,0.0
51,0.1,0.0
56,0.1,0.0
61,0.1,0.0
66,0.4,0.0
71,0.6,0.0
76,0.8,0.0
81,0.9,0.0
86,1.0,0.0
91,1.1,0.0
96,1.2,0.0
101,1.3,0.0
106,1.4,0.0
112,1.5,0.0
117,1.5,0.0
122,1.6,0.0
127,1.6,0.0
132,1.6,0.0
137,1.7,0.0
142,1.7,0.0
148,1.7,0.0
153,1.8,0.0
158,1.8,0.0
163,1.9,0.0
168,1.9,0.0
173,1.9,0.0
178,1.9,0.0
183,2.0,0.0
188,2.0,0.0
193,2.0,0.0
198,2.0,0.0
203,2.0,0.0
208,2.1,0.0
213,2.1,0.0
218,2.1,0.0
223,2.1,0.0
228,2.1,0.0
233,2.1,0.0
238,2.2,0.0
243,2.2,0.0
248,2.2,0.0
254,2.2,0.0
259,2.2,0.0
264,2.2,0.0
269,2.2,0.0
274,2.2,0.0
279,2.3,0.0
284,2.3,0.0
289,2.3,0.0
294,2.3,0.0
299,2.3,0.0
304,2.3,0.0
309,2.3,0.0
314,2.3,0.0
319,2.3,0.0
324,2.3,0.0
329,2.3,0.0
334,2.3,0.0
339,2.4,0.0
344,2.4,0.0
349,2.4,0.0
354,2.4,0.0
359,2.4,0.0
364,2.4,0.0
370,2.4,0.0
375,2.4,0.0
380,2.4,0.0
385,2.4,0.0
390,2.4,0.0
395,2.4,0.0
400,2.4,0.0
405,2.4,0.0
410,2.4,0.0
415,2.4,0.0
420,2.4,0.0
425,2.4,0.0
430,2.4,0.0
435,2.4,0.0
440,2.4,0.0
445,2.4,0.0
450,2.4,0.0
456,2.5,0.0
461,2.5,0.0
466,2.5,0.0
471,2.5,0.0
476,2.5,0.0
481,2.5,0.0
486,2.5,0.0
491,2.5,0.0
496,2.5,0.0
501,2.5,0.0
506,2.5,0.0
511,2.5,0.0
516,2.5,0.0
521,2.5,0.0
526,2.5,0.0
531,2.5,0.0
536,2.5,0.0
542,2.5,0.0
547,2.5,0.0
552,2.5,0.0
557,2.5,0.0
562,2.6,0.0
567,2.6,0.0
572,2.6,0.0
577,2.6,0.0
582,2.6,0.0
587,2.6,0.0
592,2.6,0.0
597,2.6,0.0
602,2.6,0.0
607,2.6,0.0
612,2.6,0.0
617,2.6,0.0
622,2.6,0.0
627,2.6,0.0
632,2.6,0.0
637,2.6,0.0
642,2.6,0.0
648,2.6,0.0
653,2.6,0.0
658,2.6,0.0
663,2.6,0.0
668,2.6,0.0
673,2.6,0.0
678,2.6,0.0
683,2.6,0.0
688,2.6,0.0
693,2.6,0.0
698,2.6,0.0
703,2.6,0.0
708,2.6,0.0
713,2.6,0.0
718,2.6,0.0
723,2.6,0.0
728,2.6,0.0
733,2.6,0.0
739,2.6,0.0
744,2.6,0.0
749,2.6,0.0
754,2.6,0.0
759,2.6,0.0
764,2.7,0.0
769,2.7,0.0
774,2.7,0.0
780,2.7,0.0
785,2.7,0.0
790,2.7,0.0
795,2.7,0.0
800,2.7,0.0
805,2.7,0.0
810,2.7,0.0
815,2.7,0.0
820,2.7,0.0
825,2.7,0.0
830,2.7,0.0
835,2.7,0.0
840,2.7,0.0
845,3.1,0.0
850,3.7,0.0
855,4.2,0.0
860,4.7,0.0
866,5.1,0.0
871,5.4,0.0
876,5.6,0.0
881,5.8,0.0
886,6.1,0.0
892,6.4,0.0
897,6.7,0.0
