seconds,%CPU,%memory
0,0.0,0.1
5,0.0,0.1
10,0.0,0.1
15,0.0,0.1
20,0.0,0.1
26,0.0,0.1
31,0.0,0.1
36,0.0,0.1
41,0.0,0.1
46,0.0,0.2
51,0.0,0.2
56,0.0,0.3
61,0.0,0.3
66,0.0,0.3
71,0.0,0.3
76,0.0,0.3
81,0.0,0.4
86,0.0,0.4
91,0.0,0.4
97,0.0,0.4
102,0.0,0.4
107,0.0,0.4
112,0.0,0.4
117,0.0,0.4
122,0.0,0.5
127,0.0,0.5
132,0.0,0.5
137,0.0,0.5
142,0.0,0.6
147,0.0,0.6
152,0.0,0.7
157,0.0,0.7
163,0.0,0.7
168,0.0,0.7
173,0.0,0.7
178,0.0,0.7
183,0.0,0.8
188,0.0,0.8
193,0.0,0.8
198,0.0,0.8
203,0.0,0.8
208,0.0,0.9
213,0.0,0.9
218,0.0,0.9
223,0.0,1.0
228,0.0,1.0
233,0.0,1.0
238,0.0,1.0
243,0.0,1.0
248,0.0,1.1
253,0.0,1.1
258,0.0,1.1
263,0.0,1.1
268,0.0,1.1
273,0.0,1.2
278,0.0,1.2
283,0.0,1.2
288,0.0,1.3
293,0.0,1.3
299,0.0,1.3
304,0.0,1.3
309,0.0,1.3
314,0.0,1.3
319,0.0,1.3
324,0.0,1.4
329,0.0,1.4
334,0.0,1.4
339,0.0,1.5
344,0.0,1.5
349,0.0,1.5
354,0.0,1.5
359,0.0,1.5
364,0.0,1.6
369,0.0,1.6
374,0.0,1.6
379,0.0,1.6
384,0.0,1.6
389,0.0,1.7
394,0.0,1.7
399,0.0,1.7
404,0.0,1.7
409,0.0,1.8
414,0.0,1.8
419,0.0,1.8
424,0.0,1.8
429,0.0,1.8
435,0.0,1.8
440,0.0,1.8
445,0.0,1.8
450,0.0,1.9
455,0.0,1.9
460,0.0,1.9
465,0.0,1.9
470,0.0,2.0
475,0.0,2.0
480,0.0,2.1
485,0.0,2.1
490,0.0,2.1
495,0.0,2.1
500,0.0,2.1
505,0.0,2.2
511,0.0,2.2
516,0.0,2.3
521,0.0,2.3
526,0.0,2.3
531,0.0,2.4
536,0.0,2.4
541,0.0,2.4
546,0.0,2.4
551,0.0,2.4
556,0.0,2.5
561,0.0,2.5
566,0.0,2.6
571,0.0,2.6
576,0.0,2.6
581,0.0,2.6
586,0.0,2.6
591,0.0,2.6
596,0.0,2.6
601,0.0,2.6
606,0.0,2.7
612,0.0,2.7
617,0.0,2.8
622,0.0,2.8
627,0.0,2.8
632,0.0,2.8
637,0.0,2.8
642,0.0,2.9
647,0.0,2.9
652,0.0,3.0
657,0.0,3.0
662,0.0,3.0
667,0.0,3.0
673,0.0,3.1
678,0.0,3.1
683,0.0,3.1
688,0.0,3.2
693,0.0,3.2
698,0.0,3.2
703,0.0,3.3
708,0.0,3.3
713,0.0,3.3
718,0.0,3.4
723,0.0,3.4
728,0.0,3.4
733,0.0,3.4
738,0.0,3.4
743,0.0,3.5
748,0.0,3.5
753,0.0,3.5
759,0.0,3.5
764,0.0,3.6
769,0.0,3.6
774,0.0,3.7
779,0.0,3.7
784,0.0,3.7
789,0.0,3.7
794,0.0,3.8
799,0.0,3.8
804,0.0,3.8
809,0.0,3.8
814,0.0,3.8
819,0.0,3.9
824,0.0,3.9
829,0.0,3.9
834,0.0,3.9
839,0.0,3.9
844,0.0,4.0
850,0.0,4.0
855,0.0,4.0
860,0.0,4.0
865,0.0,4.1
870,0.0,4.1
876,0.0,4.1
881,0.0,4.2
886,0.0,4.2
891,0.0,4.2
896,0.0,4.2
