seconds,RX data rate,TX data rate,disk writes,available disk capacity
0,2390260.01,34467.02,133.90,17498
6,2390266.47,34474.93,133.90,17498
11,2390272.93,34479.73,133.90,17498
16,2390279.39,34484.59,133.90,17498
22,2390285.85,34489.45,133.90,17498
27,2390292.32,34494.31,133.89,17498
33,2390298.83,34499.22,133.89,17498
38,2390305.29,34504.02,133.89,17498
43,2390311.75,34508.88,133.89,17498
48,2390318.21,34513.74,133.89,17498
53,2390324.67,34518.60,133.89,17498
59,2390331.66,34524.27,133.89,17498
64,2390343.99,34533.08,133.88,17382
69,2390344.62,34533.33,133.95,17254
74,2390351.17,34538.28,134.48,16998
79,2390357.23,34542.88,134.48,16998
84,2390363.70,34547.68,134.91,16998
89,2390370.16,34552.49,134.90,16484
94,2390376.63,34557.35,135.36,16486
100,2390389.55,34566.97,135.35,16486
105,2390394.81,34571.64,135.44,16486
110,2390402.50,34576.58,135.81,16486
115,2390407.64,34577.71,135.94,15458
121,2390415.43,34586.25,136.35,15462
126,2390421.95,34591.15,136.35,15462
131,2390428.47,34596.01,136.76,15462
137,2390434.99,34600.82,136.75,15462
142,2390457.92,34613.78,137.24,15462
147,2390464.38,34618.64,137.24,15462
152,2390470.89,34623.49,137.37,15462
157,2390477.36,34628.35,137.76,15462
163,2390483.82,34633.16,137.76,15462
168,2390490.27,34637.97,138.20,13406
173,2390496.73,34642.83,138.32,13406
178,2390503.25,34647.68,138.69,13414
183,2390509.71,34652.54,138.69,13414
189,2390516.23,34657.40,139.16,13414
194,2390522.69,34662.20,139.16,13414
199,2390529.14,34667.01,139.61,13414
204,2390535.66,34671.86,139.61,13414
209,2390542.21,34676.81,140.04,13414
214,2390548.66,34681.62,140.04,13414
220,2390555.14,34686.42,140.22,13414
225,2390561.60,34691.23,140.56,13414
230,2390568.19,34696.19,140.66,13414
235,2390574.66,34700.99,141.01,13414
240,2390581.11,34705.85,141.01,13414
245,2390587.59,34710.66,141.46,13414
251,2390594.06,34715.47,141.46,13414
256,2390600.70,34720.37,141.92,13412
261,2390607.16,34730.09,141.91,13412
266,2390620.14,34734.90,142.01,13412
271,2390626.61,34739.71,142.37,13412
276,2390631.96,34744.47,142.47,13412
282,2390639.54,34749.47,142.97,9316
287,2390644.79,34750.59,142.96,9316
292,2390652.58,34759.08,143.06,9316
297,2390657.88,34763.89,143.42,9316
302,2390665.57,34768.74,143.52,9318
